DAFTAR RISIKO,,,,,,,,,,,,,,,,,,,,
RUMAH SAKIT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
No,Kegiatan,Tujuan Kegiatan,Kode Risiko,Kategori Risiko,Ruang Lingkup,Pernyataan Risiko,Sebab,UC/C,Probality,Dampak,Pengendalian Yang Ada,,,Tingkat Risiko,Peringkat Risiko,Rencana Pengendalian,,Pemilik Risiko,PJ Tindak Lanjut,
13,pengangkutan limbah medis dari TPS LB3 ke Tempat Pengolahan Akhir Limbah B3,Pengangkutan limbah medis dari TPS LB3 ke Tempat Pengolahan Akhir Limbah B3,R,Reputasi,Bisnis RS,karena pengangkutan limbah medis oleh pihak ketiga tidak sesuai jadwal mungkin saja terjadi penumpukan limbah medis di TPS LB3 sehingga limbah medis yang disimpan melebihi masa simpan di TPS LB3 yang diperbolehkan,karena tidak dilakukan pengangkutan limbah medis sesuai jadwal,C,4,3,"SPO, SPK",Ada,Kurang Efektif,12,TINGGI,meninjau ulang SPO dan SPK,,kesling,kesling,Rumah Tangga
14,pengangkutan limbah medis dari TPS LB3 ke Tempat Pengolahan Akhir Limbah B3,Pengangkutan limbah medis dari TPS LB3 ke Tempat Pengolahan Akhir Limbah B3,K,Kepatuhan,Nakes lain,karena petugas pihak ketiga tidak menggunakan APD saat pengangkutan limbah medis mungkin saja petugas tertusuk benda tajam atau terkena cairan dari limbah medis sehingga petugas terluka dan terkena cairan dari limbah medis,karena tidak mengunakan APD,C,4,3,"SPO, SPK",Ada,Kurang Efektif,12,TINGGI,meninjau ulang SPO dan SPK,,kesling,kesling,Rumah Tangga
15,pemeliharaan taman dan ruang terbuka hijau,"menanam, merawat, menyiram tanaman",K,Kebijakan,,karena tidak menggunakan APD saat pemotongan tanaman mungkin saja petugas gardener tekena pisau dan tanaman tajam sehingga petugas gardener,karena tidak menggunakan APD,C,3,2,SPO penggunaan APD,Ada,Kurang Efektif,6,SEDANG,menjadwalkan pemotongan tanaman dan pemilihan tanaman yang ramah untuk pengunjung saat pembelian bibit tanaman,setiap bulan,rumah tangga,suvervisor dan leader cs,Rumah Tangga
16,pemeliharaan taman dan ruang terbuka hijau,"menanam, merawat, menyiram tanaman",o,Operasional,Lingkungan,karena memindahkan tanaman dalam pot besar mungkin saja petugas gardener kesulitan dan mengangkat beban berlebih sehingga petugas gardener cedera,karena mengangkat beban berlebihan,C,2,3,,Tidak,Tidak Efektif,6,SEDANG,meninjua ulang SPK untuk mandatory jadwal kunjungan pest control intesnsitannya lebih banyak,akhir spk,rumah tangga,kesling,Rumah Tangga
17,pest control area sekitar rumah sakit yang bekerjasama dengan pihak ketiga,melakukan kegiatan pest control setiap 2 minggu sekali,o,Operasional,Lingkungan,"karena petugas pest control tidak datang setiap hari ke rs mungkin saja masih ditemukan pest dan vektor di area rumah sakit sehingga timbul komplain dari pasien, pengunjung, atau staff rumah sakit",karena petugas pest control tidak datang setiap hari ke rs,C,4,3,SPK,Ada,Kurang Efektif,12,TINGGI,meninjau ulang SPK,,"rumah tangga, kesling",kesling,Rumah Tangga
18,uji kualitas lingkungan rumah sakit,melakukan pengambilan sampel kualitas lingkungan rumah sakit,o,Operasional,Bisnis RS,karena pengambilan uji kualitas lingkungan rumah sakit yang tidak sesuai jadwal mungkin saja hasil uji terlambat dilaporkan sehingga mendapat surat teguran dari dinas,karena pengambilan uji kualitas lingkungan rumah sakit yang tidak sesuai jadwal,C,3,3,SPK,Ada,Kurang Efektif,9,SEDANG,meninjau ulang SPK,,kesling,kesling,Rumah Tangga
19,uji kualitas lingkungan rumah sakit,melakukan pengambilan sampel kualitas lingkungan rumah sakit,o,Operasional,Lingkungan,karena pengolahan air limbah di IPAL belum optimal mungkin saja hasil uji kualitas air limbah tidak memenuhi syarat sehingga mendapat teguran dari dinas,karena pengolahan air limbah di IPAL belum optimal,C,4,3,"SPO, SPK",Ada,Kurang Efektif,12,TINGGI,meninjau ulang SPO dan SPK,,kesling,kesling,Rumah Tangga
20,uji kualitas lingkungan rumah sakit,melakukan pengambilan sampel kualitas lingkungan rumah sakit,o,Operasional,Lingkungan,karena pengendalian pencemaran udara di genset belum optimal mungkin saja hasil uji emisi genset tidak memenuhi syarat sehingga mendapat teguran dari dinas,karena pengendalian pencemaran udara di genset belum optimal,C,2,3,SPK,Ada,Kurang Efektif,6,SEDANG,meninjau ulang SPK,,"IPSRS, kesling",IPSRS,Rumah Tangga
21,uji kualitas lingkungan rumah sakit,melakukan pengambilan sampel kualitas lingkungan rumah sakit,o,Operasional,Pasien,karena pengelolaan air RO belum optimal mungkin saja hasil uji kualitas air RO tidak memenuhi syarat sehingga berpengaruh pada kualitas air yang dipakai untuk pasien hemodialisa,karena pengelolaan air RO belum optimal,C,2,3,"SPK, SPO",Ada,Kurang Efektif,6,SEDANG,meninjau ulang SPO dan SPK,,"rawat jalan, ATEM",ATEM,Rumah Tangga
22,pengelolaan air limbah di IPAL,melakukan pengelolaan air limbah yang dihasilkan di IPAL,o,Operasional,Lingkungan,karena pompa di IPAL belum berjalan otomatis mungkin saja pengelolaan air limbah di IPAL tidak optimal sehingga air limbah meluap dan terjadi komplain,karena pompa di IPAL belum berjalan otomatis,C,4,3,SPO,Ada,Kurang Efektif,12,TINGGI,meninjau ulang SPO,,"IPSRS, kesling",IPSRS,Rumah Tangga
23,"ketersediaan pasokan air bersih 2 x 24 jam, 7 hari dalam seminggu","tersedianya air bersih untuk keperluan rumah sakit 2 x 24 jam, 7 hari dalam seminggu",o,Operasional,Fasilitas,karena pompa air bersih tidak berfungsi optimal mungkin saja terjadi kekurangan pasokan air bersih sehingga menghambat kegiatan operasional di rumah sakit,karena pompa air bersih tidak berfungsi optimal,C,3,3,SPO,Ada,Kurang Efektif,9,SEDANG,meninjau ulang SPO,,"IPSRS, Rumah tangga, kesling",,Rumah Tangga
24,pengambilan linen kotor dari unit kerja,untuk proses pencucian linen,o,Operasional,Fasilitas,karena tidak dilakukan pengambilan linen kotor di unit kerja mungkin saja linen kotor akan tertumpuk di unit kerja sehingga ketersedian linen berkurang untuk pelayanan,karena tidak dilakukan pengambilan linen kotor di unit kerja,C,3,4,SPO pengelolaan linen kotor di unit kerja,Ada,Kurang Efektif,12,TINGGI,"melakukan pegecekan catatan rumah sakit, pihak ketiga dan melakukan pengecekan ulang jenis linen yang di terima dari pihak ke tiga",,laundry,laundry,Rumah Tangga
25,menerima linen bersih dari pihak ketiga,serah terima linen bersih dari pihak ketiga,o,Operasional,Fasilitas,karena tidak mencatat dan pengecekan serah terima linen kotor dan linen bersih ke pihak ke tiga mungkin saja jumlah linen tidak sesuai sehingga linen hilang,karena tidak mencatat dan mengecek serah terima linen kotor dan linen bersih dengan pihak ke tiga,C,3,4,SPO Penerimaan linen dari pihak ketiga,,,12,TINGGI,,,laundry,,Rumah Tangga
26,memarkirkan mobil pasien dan pengunjung,untuk menempatkan dan menjaga mobil yang terpakir di area rumah sakit,R,Reputasi,Bisnis RS,karena tidak melakukan pengecekan semua area parkir mungkin saja ada orang yang mengambil aksesoris kendaraan sehingga aksesoris kendaraan yang terparkir di rumah sakit hilang,karean tidak melakukan pengecekan area parkir,C,3,4,SPO parkir kendaraan,Ada,Kurang Efektif,12,TINGGI,melakukan penjadwalan pengiriman linen bersih pada unit sesuai jadwal dan permintaan unit,setiap bulan,parkir,koordinator parkir,Rumah Tangga
27,Pendistribusian linen bersih,untuk pemenuhan linen yang di butuhkan oleh unit,O,Operasional,,karena tidak sesuai waktu pendistribusian linen bersih pada unit kerja mungkin saja pendistribusai linen terlambat sehingga unit kekuarang linen untuk pelayanan,arena tidak sesuai waktu pendistribusian linen bersih pada unit kerja,,3,2,spo pendistribusian linen bersih,Ada,Kurang Efektif,6,SEDANG,menyediakan tempat infeksius dan non infeksius di area unit dan guang linen kotor,setiap bulan,laundry,laundry,Rumah Tangga
28,Pemisahan linen berdasarkan tingkat kontaminasi ( infeksius dan non infeksius),untuk mencegah kontaminasi silang,O,Operasional,,karena tidak memisahkan linen infeksius dan non infeksius mungkin saja linen tersebut akan tercampur sehigga akan terjadi infeksius silang pada linen kotor,karena tidak memisahkan linen infeksius dan non infeksius,C,3,2,spo pemisahan linen infeksius dan non infeksius,Ada,Kurang Efektif,6,SEDANG,membuat catatan jumlah linen,secara berkala,laundry,laundry,Rumah Tangga
29,mendokumentasikan stok linen,untuk mejaga jumlah linen,,Operasional,Fasilitas,karena petugas laundry tidak mencatat stock linen mungkin saja jumlah linen yang tersedia sehingga linen hilang dan permintaan unit tidak tercukupi,karena tidak mencatat stok linen bersih,C,3,2,SPO SO,Ada,Kurang Efektif,6,SEDANG,menjadwalkan pembersihan area tempat penyimanan dan terdokumentasi,secara berkala,laundry,laundry,Rumah Tangga
30,menjaga kebersihan area penyimpanan agar tetap higienis,untuk menjaga kualitas linen bersih diruang penyimpanan,o,Operasional,Fasilitas,karena tidak membersihkan dan menjaga kebersihan ruangan penyimpanan linen bersih mungkin saja ruang penyimpan linen bersih kotor sehingga linen besih terkontaminasi,karena tidak membersihkan dan menjaga kebersihan ruang penyimpanan linen bersih,C,3,2,Penjadawalan perbersihan ruangan,Ada,Kurang Efektif,6,SEDANG,,,laundry,laundry,Rumah Tangga
31,pencatatan linen yang rusak,untuk inventaris data linen,o,Operasional,Fasilitas,karena tidak melakukan pencatatn linen rusak mungkin saja data stok linen berkurang sehingga data linen tidak valid,karena tidak melakukan pencatatan linen rusak,C,3,2,menginput data linen yang rusak,Ada,Kurang Efektif,6,SEDANG,menbuat jadwal setiap shif dan monitoring laporan patroli,,laundry,,Rumah Tangga
32,pengamanan area rumah sakit,untuk menjaga keamanan rumah sakit,o,Reputasi,Bisnis RS,karena tim security tidak melakukan patroli secara berkala mungkin saja ada orang yang masuk tidak di ketahui sehingga terjadi pencurian di area rumah sakit,karena tidak patroli secara berkala,C,3,4,spo patroli,Ada,Kurang Efektif,12,TINGGI,briefing penggunaan APD dan pemantauan kepatuhan APD oleh PPI,,security,chief,Rumah Tangga
33,pengambilan linen kotor dari unit kerja,untuk proses pencucian linen,o,Operasional,Fasilitas,karena petugas tidak melaksanakan prosedur penanganan linen kotor mungkin saja petugas laundry terkena caiiran tubuh pasien sehingga petugas laundry sakit,karena tidak melakukan prosedur penanganan linen kotor,,2,4,spo penanganan linen kotor,Ada,Kurang Efektif,8,SEDANG,melakukan pengawasan rutin dengan PPI terhadap petugas laundry dan CS,,laundry,PPI,Rumah Tangga
34,pengambilan linen kotor dan pengiriman linen bersih pada unit kerja,untuk proses pencucian linen,o,Operasional,Fasilitas,karena tidak melakukan pemeriksaan troli linen kotor dan linen bersih mungkin saja troli linen kotor dan bersih rusak sehingga pengambilan pengiriman linen tergangu yang berdampak pada pelayanan pada pasien,karena tidak melakukan pengecekan troly linen kotor dan linen bersih,,2,4,pemeriksaaan troli linen bersih dan linen kotor,Ada,Kurang Efektif,8,SEDANG,briefing penggunaan spill kit,secara berkal,laundry,PPI,Rumah Tangga
35,Penangaan tumpahan cairan infeksius (spill kit ),"untuk mencegah jika terjadi tumpahan darah/ cairan tubuh infeksius agar tidak membahayakan tenaga kesehatan, pengunjung dan orang lain yang berada di lingkungan pelayanan kesehatan dan ligkungan sekitar.",o,Operasional,Nakes lain,"karena petugas CS tidak melakukan penanganan 
tumpahan cairan infeksius (spill kit) , mungkin saja terkena cairan tubuh pasien sehingga menimbulkan penularan penyakit menular",tidak melakukan penanganan tumpahan infeksius (spill kit),C,5,2,memastikan kejadian tumpahan cairan infeksius tubuh tertangani dengan spill kit dan sudah memiliki SPO,Ada,Kurang Efektif,10,TINGGI,memastikan tumpahan tertangi dengan spill kit dan APD lengkap,berkala,"kesling, PPI",kesling,Rumah Tangga
36,pengisian form kepuasan,"untuk mengukur harapan dan kepuasan pasien serta keluarga, dan menjadikannya salah satu indikator sasaran mutu manajerial internal rumah sakit",R,Reputasi,Bisnis RS,karena permasalahan floor drain kamar mandi rawat inap kemungkinan menyebabkan komplain dari pasien atau keluarga terkait bau sehingga berdampak terhadap ketidakpuasan pasien terhadap Rs Azra,permasalahan floor drain tidak bersih dan bau,,4,3,"pemberian floor trap, pemberian chemical berupa bakteri pengurai, pemberian kamper,penutupan lubang di area closet yang terbuka oleh teknisi dan berkoordinasi dengan vendor terkait permasalahan floor drain",Ada,Kurang Efektif,12,TINGGI,"melakukan kontrol rutin oleh teknisi dan CS , pemberian chemical dan kamper rutin pada kamar mandi ranap",,"RT , Kesling",kesling,Rumah Tangga
37,perawatan area hijau Rumah Sakit,"untuk menetralisir udara serta menjadikan rumah sakit yang ramah lingkungan serta menciptakan suasana nyaman, relaksasi dan interaksi positif didalam rumah sakit",K,Kebijakan,Lingkungan,"karena ketidak tersedianya sumberdaya manusia (gardener) kemungkinan menyebabkan udara tidak ternetralisir dengan baik dan tidak menciptakan suasana nyaman, relaksasi dan interaksi positif didalam rumah sakit sehingga berdampak terhadap Green hospital yang telah diterapkan rumah sakit rusak",karena ketidak tersedianya SDM gardener,,1,4,tersedia SDM gardener,Ada,Kurang Efektif,4,RENDAH,memberikan kesepakatan terkait One month notice terkait pekerja (gardener),pertahun,"RT, Kesling",RT,Rumah Tangga
38,Penangaan tumpahan B3 (spill kit ),"untuk mencegah jika terjadi tumpahan B3 agar tidak membahayakan tenaga kesehatan, pengunjung dan orang lain yang berada di lingkungan pelayanan kesehatan dan ligkungan sekitar.",o,Operasional,Nakes lain,"karena petugas CS tidak melakukan penanganan tumpahan B3 (spill kit) , mungkin saja terkena cairan B3 sehingga menimbulkan risiko kecelakaan kerja",tidak melakukan penanganan tumpahan B3,C,3,3,tersedia SPO,Ada,Kurang Efektif,9,SEDANG,pengajuan penyedotan pada manajemen,secara berkal,"Rumah Tangga, Kesling",RT,Rumah Tangga
39,pengelolaan air limbah di IPAL,melakukan pengelolaan air limbah yang dihasilkan di IPAL,o,Operasional,Lingkungan,karena tidak dilakukan penyedotan lumpur IPAL secara rutin mungkin saja endapan lumpur di IPAL tinggi sehingga mempengaruhi hasil uji kualitas air limbah menjadi tidak memenuhi syarat,tidak dilakukan penyedotan lumpur IPAL secara rutin,C,4,3,tersedia SPK,Ada,Kurang Efektif,12,TINGGI,"menjadwalkan penyedotan lumpur IPAL secara rutin, meninjau SPK dengan pihak ketiga",,kesling,kesling,Rumah Tangga
40,pengelolaan air limbah di IPAL,melakukan pengelolaan air limbah yang dihasilkan di IPAL,o,Operasional,Lingkungan,karena ketersediaan chemical untuk pengolahan air limbah tidak tercukupi mungkin saja proses pengolahan air limbah di IPAL terganggu sehingga hasil uji kualitas air limbah melebihi baku mutu yang diperbolehkan,ketersediaan chemical untuk pengolahan air limbah tidak tercukupi,C,4,3,tersedia SPO,Ada,Kurang Efektif,12,TINGGI,memastikan ketersediaan chemical untuk pengolahan di IPAL,,kesling,kesling,Rumah Tangga
41,pengelolaan air limbah di IPAL,melakukan pengelolaan air limbah yang dihasilkan di IPAL,o,Operasional,Lingkungan,karena pengoperasian IPAL manual dan tidak ada petugas yang standby mungkin saja bak sumpit dan IPAL meluap sehingga timbul komplain,pengoperasian IPAL manual dan tidak ada petugas yang standby,C,4,3,tersedia SPO,Ada,Kurang Efektif,12,TINGGI,memastikan mesin bekerja optimal dan tidak terjadi luapan air limbah di sumpit dan IPAL,,"kesling, IPSRS",IPSRS,Rumah Tangga
42,Pengelolaan B3,melakukan pengelolaan B3 dengan baik,o,Operasional,Nakes lain,karena B3 yang digunakan tidak memiliki simbol B3 dan MSDS mungkin saja petugas tidak mengerti bahaya yang ditimbulkan jika terpapar B3 tersebut sehingga terjadi kecelakaan kerja,B3 yang digunakan tidak memiliki simbol B3 dan MSDS,C,5,3,"tersedia SPO, pemberian simbol B3",Ada,Kurang Efektif,15,SANGAT TINGGI,memastikan B3 yang digunakan tertempel simbol B3 dan memiliki MSDS,,"kesling, k3","kesling, K3",Rumah Tangga
43,Pelaporan Limbah fasyankes ke Kementrian dan Dinas terkait,"melakukan pelaporan limbah yang dihasilkan fasyankes ke kementrian dan dinas terkait (KLH, Kemenkes, DLH, Dinkes)",K,Kepatuhan,Bisnis RS,karena keterlambatan pelaporan limbah fasyankes ke kementrian dan dinas terkait mungkin saja nilai kepatuhan pelaporan rendah sehingga mendapat teguran dan/atau sanksi,keterlambatan pelaporan limbah fasyankes ke kementrian dan dinas,C,4,3,tersedia SPO dan SPK,Ada,Kurang Efektif,12,TINGGI,"memastikan hasil uji kualitas lingkungan tepat waktu dan sesuai SPK, memastikan pelaporan limbah fasyankes tepat waktu",berkala,kesling,kesling,Rumah Tangga
44,Memiliki perizinan yang masih aktif,perizinan kegiatan operasional,K,Kepatuhan,Bisnis RS,karena masa berlaku perizinan TPS LB3 yang sudah habis mungkin saja ada sidak dari dinas dan/atau pihak berwenang setempat sehingga mendapat teguran dan/atau sanksi,masa berlaku perizinan TPS LB3 yang sudah habis,C,5,4,memastikan perizinan masih berlaku,Ada,Efektif,20,SANGAT TINGGI,memastikan perizinan masih berlaku,berkala,"kesling, perijinan","kesling, perijinan",Rumah Tangga
45,Memiliki perizinan yang masih aktif,perizinan kegiatan operasional,K,Kepatuhan,Bisnis RS,karena masa berlaku perizinan IPLC yang sudah habis atau adanya perubahan pada IPAL mungkin saja ada sidak dari dinas dan/atau pihak berwenang setempat sehingga mendapat teguran dan/atau sanksi,masa berlaku perizinan IPLC yang sudah habis atau adanya perubahan pada IPAL,C,5,4,memastikan perizinan masih berlaku,Ada,Efektif,20,SANGAT TINGGI,memastikan perizinan masih berlaku,berkala,"kesling, perijinan","kesling, perijinan",Rumah Tangga
46,pemantauan area rumah sakit,untuk menjaga keamanan rumah sakit,o,Operasional,Lingkungan,karena tidak dilakukan pemantaun CCTV secara berkala mungkin saja ada kejadian kejahatan sehingga terjadi gangguan kemananan di rumah sakit,karena tidak melakukan pemanataun cctv,C,2,4,spo pemantaun cctv,Ada,Kurang Efektif,8,SEDANG,membuat checlist harian pershif,setiap bulan,security,security,Rumah Tangga
47,Pemeliharaan sarana transportasi RS,"Memastikan bahwa kendaraan transportasi berfungsi dengan baik untuk menghindari kecelakaan dan melindungi keselamatan pasien, staf, dan pengemudi",,Operasional,Fasilitas,"Karena pemeliharaan sarana transportasi tidak dilakukan dengan baik, mungkin saja kendaraan mengalami kerusakan mendadak, sehingga membahayakan keselamatan pasien, staf, dan pengemudi.",Pemeliharan sarana transportasi RS tidak dilakukan secara berkala,C,2,3,SPO,Ada,Efektif,6,SEDANG,Tinjau Ulang SPO,,Transportasi,Trasnportasi,Umum 
48,Pembersihan dan disinfeksi ambulans setelah digunakan untuk transportasi pasien,"Mencegah patogen dan mikroorganisme berbahaya menyebar ke pasien, staf, atau lingkungan sekitar",,Operasional,Fasilitas,"Karena pembersihan dan disinfeksi ambulans tidak dilakukan dengan benar, mungkin saja patogen atau mikroorganisme berbahaya tetap berada di dalam ambulans, sehingga meningkatkan risiko penyebaran infeksi ke pasien, staf, atau individu lain yang menggunakan kendaraan tersebut",Tidak dilakukan pembersihan dan desinfeksi ambulans dengan benar,C,2,3,SPO,Ada,Kurang Efektif,6,SEDANG,Tinjau Ulang SPO,,Transportasi,Transportasi,Umum 
49,Monitoring perpanjangan Sertifikat Layak Fungsi Bangunan,"Memastikan bahwa rumah sakit terus memenuhi persyaratan hukum, standar keselamatan, Kelayakan Fungsi Bangunan Rumah Sakit",,Legal,Fasilitas,"Karena monitoring perpanjangan Sertifikat Kelayakan Fungsi Bangunan Rumah Sakit tidak dilakukan, mungkin saja menghambat perpanjangan izin operasional RS",Tidak dilakukan monitoring SLF,C,1,3,SPO,Ada,Efektif,3,RENDAH,Tinjau Ulang SPO,,Perizinan,Perizinan,Umum 
50,Monitoring Perpanjangan Izin Operasional Rumah Sakit,"Memastikan bahwa rumah sakit terus memenuhi persyaratan hukum, standar keselamatan, dan kualitas layanan kesehatan yang telah ditetapkan oleh pemerintah atau otoritas kesehatan terkait",,Legal,Bisnis RS,"Karena monitoring perpanjangan ijin operasional RS tidak dilakukan, mungkin saja ijin operasional RS habis sehingga RS tidak bisa beroperasional",Tidak dilakukan monitoring perpanjangan ijin operasional RS,C,1,5,SPO,Ada,Efektif,5,SEDANG,Tinjau Ulang SPO,,Perizinan,Perizinan,Umum 
51,Patroli Keamanan seacar rutin oleh security,Memastikan bahwa kondisi rumah sakit dalam keadaan aman,,Operasional,Lingkungan,"Jika patroli tidak dilakukan, mungkin ada resiko terjadinya tidanak kriminal maupun kejadian yang tidak diinginkan",Tidak dilakukan patroli,C,2,3,,Ada,Efektif,6,SEDANG,Tinjau Ulang SPO,,Security,Security,Umum 
